Date;Price
02/06/2017;2439.07
05/06/2017;2436.1
06/06/2017;2429.33
07/06/2017;2433.14
08/06/2017;2433.79
09/06/2017;2431.77
12/06/2017;2429.39
13/06/2017;2440.35
14/06/2017;2437.92
15/06/2017;2432.46
16/06/2017;2433.15
19/06/2017;2453.46
20/06/2017;2437.03
21/06/2017;2435.61
22/06/2017;2434.5
23/06/2017;2438.3
26/06/2017;2439.07
27/06/2017;2419.38
28/06/2017;2440.69
29/06/2017;2419.7
30/06/2017;2423.41
03/07/2017;2429.01
05/07/2017;2432.54
06/07/2017;2409.75
07/07/2017;2425.18
10/07/2017;2427.43
11/07/2017;2425.53
12/07/2017;2443.25
13/07/2017;2447.83
14/07/2017;2459.27
17/07/2017;2459.14
18/07/2017;2460.61
19/07/2017;2473.83
20/07/2017;2473.45
21/07/2017;2472.54
24/07/2017;2469.91
25/07/2017;2477.13
26/07/2017;2477.83
27/07/2017;2475.42
28/07/2017;2472.1
31/07/2017;2470.3
01/08/2017;2476.35
02/08/2017;2477.57
03/08/2017;2472.16
04/08/2017;2476.83
07/08/2017;2480.91
08/08/2017;2474.92
09/08/2017;2474.02
10/08/2017;2438.21
11/08/2017;2441.32
14/08/2017;2465.84
15/08/2017;2464.61
16/08/2017;2468.11
17/08/2017;2430.01
18/08/2017;2425.55
21/08/2017;2428.37
22/08/2017;2452.51
23/08/2017;2444.04
24/08/2017;2438.97
25/08/2017;2443.05
28/08/2017;2444.24
29/08/2017;2446.3
30/08/2017;2457.59
31/08/2017;2471.65
01/09/2017;2476.55
05/09/2017;2457.85
06/09/2017;2465.54
07/09/2017;2465.1
08/09/2017;2461.43
11/09/2017;2488.11
12/09/2017;2496.48
13/09/2017;2498.37
14/09/2017;2495.62
15/09/2017;2500.23
18/09/2017;2503.87
19/09/2017;2506.65
20/09/2017;2508.24
21/09/2017;2500.6
22/09/2017;2502.22
25/09/2017;2496.66
26/09/2017;2496.84
27/09/2017;2507.04
28/09/2017;2510.06
29/09/2017;2519.36
02/10/2017;2529.12
03/10/2017;2534.58
04/10/2017;2537.74
05/10/2017;2552.07
06/10/2017;2549.33
09/10/2017;2544.73
10/10/2017;2550.64
11/10/2017;2555.24
12/10/2017;2550.93
13/10/2017;2553.17
16/10/2017;2557.64
17/10/2017;2559.36
18/10/2017;2561.26
19/10/2017;2562.1
20/10/2017;2575.21
23/10/2017;2564.98
24/10/2017;2569.13
25/10/2017;2557.15
26/10/2017;2560.4
27/10/2017;2581.07
30/10/2017;2572.83
31/10/2017;2575.26
01/11/2017;2579.36
02/11/2017;2579.85
03/11/2017;2587.84
06/11/2017;2591.13
07/11/2017;2590.64
08/11/2017;2594.38
09/11/2017;2584.62
10/11/2017;2582.3
13/11/2017;2584.84
14/11/2017;2578.87
15/11/2017;2564.62
16/11/2017;2585.64
17/11/2017;2578.85
20/11/2017;2582.14
21/11/2017;2599.03
22/11/2017;2597.08
24/11/2017;2602.42
27/11/2017;2601.42
28/11/2017;2627.04
29/11/2017;2626.07
30/11/2017;2647.58
01/12/2017;2642.22
04/12/2017;2639.44
05/12/2017;2629.57
06/12/2017;2629.27
07/12/2017;2636.98
08/12/2017;2651.5
11/12/2017;2659.99
12/12/2017;2664.11
13/12/2017;2662.85
14/12/2017;2652.01
15/12/2017;2675.81
18/12/2017;2690.16
19/12/2017;2681.47
20/12/2017;2679.25
21/12/2017;2684.57
22/12/2017;2683.34
26/12/2017;2680.5
27/12/2017;2682.62
28/12/2017;2687.54
29/12/2017;2673.61
